crop,plant_id,plant_type,plant_name,plant_common_name,plant_taxon_level,plant_family,plant_genus,plant_species
alfalfa,alfalfa,crop,Medicago sativa,Alfalfa,NA,NA,NA,NA
almond,almond,crop,Prunus dulcis,Almonds,NA,NA,NA,NA
apple,apple,crop,Malus domestica,Apples,NA,NA,NA,NA
apricot,apricot,crop,Prunus armeniaca,Apricots,NA,NA,NA,NA
asparagus,asparagus,crop,Asparagus officinalis,Asparagus,NA,NA,NA,NA
blackberry,blackberry,crop,Rubus spp.,Blackberries,NA,NA,NA,NA
blueberry,blueberry,crop,Vaccinium spp.,Blueberries,NA,NA,NA,NA
broccoli,broccoli,crop,Brassica oleraceae,Broccoli,NA,NA,NA,NA
buckwheat,buckwheat,crop,Fagopyrum esculentum,Buckwheat,NA,NA,NA,NA
cabbage,cabbage,crop,Brassica oleraceae,Cabbage,NA,NA,NA,NA
camelina,camelina,crop,Camelina spp.,Camelina,NA,NA,NA,NA
canola,canola,crop,Brassica spp.,Canola,NA,NA,NA,NA
cantaloupe,cantaloupe,crop,Cucumis melo,Cantaloupes,NA,NA,NA,NA
carrot,carrot,crop,Daucus carota,Carrots,NA,NA,NA,NA
cauliflower,cauliflower,crop,Brassica oleraceae,Cauliflower,NA,NA,NA,NA
celery,celery,crop,Apium graveolens,Celery,NA,NA,NA,NA
cherry,cherry,crop,Prunus spp.,Cherries,NA,NA,NA,NA
chickpea,chickpea,crop,Cicer arietinum,Chickpeas,NA,NA,NA,NA
chives,chives,crop,Allium schoenoprasum,Chives,NA,NA,NA,NA
citrus,citrus,crop,Citrus spp.,Citrus,NA,NA,NA,NA
corn,corn,crop,Zea mays,Corn,NA,NA,NA,NA
cotton,cotton,crop,Gossypium spp.,Cotton,NA,NA,NA,NA
cranberry,cranberry,crop,Vaccinium spp.,Cranberries,NA,NA,NA,NA
cucumber,cucumber,crop,Cucumis sativus,Cucumbers,NA,NA,NA,NA
eggplant,eggplant,crop,Solanum melongena,Eggplants,NA,NA,NA,NA
flax,flax,crop,Linum usitatissimum,Flax,NA,NA,NA,NA
garlic,garlic,crop,Allium sativum,Garlic,NA,NA,NA,NA
grape,grape,crop,Vitis spp.,Grapes,NA,NA,NA,NA
honeydew-melon,honeydew-melon,crop,Cucumis melo,Honeydew melon,NA,NA,NA,NA
hops,hops,crop,Humulus lupulus,Hops,NA,NA,NA,NA
lentil,lentil,crop,Lens spp.,Lentils,NA,NA,NA,NA
lettuce,lettuce,crop,Lactuca sativa,Lettuce,NA,NA,NA,NA
mint,mint,crop,Mentha spp.,Mint,NA,NA,NA,NA
mustard,mustard,crop,Brassica spp./Sinapsis spp.,Mustard,NA,NA,NA,NA
nectarine,nectarine,crop,Prunus persica,Nectarines,NA,NA,NA,NA
olive,olive,crop,Olea europaea,Olives,NA,NA,NA,NA
onion,onion,crop,Allium cepa,Onions,NA,NA,NA,NA
orange,orange,crop,Citrus x sinensis,Oranges,NA,NA,NA,NA
other,other,crop,Other crop not listed,Other,NA,NA,NA,NA
other-berry,other-berry,crop,Other berry not listed,Other berry,NA,NA,NA,NA
other-fruit,other-fruit,crop,Other fruit not listed,Other fruit,NA,NA,NA,NA
other-vegetable,other-vegetable,crop,Other vegetable not listed,Other vegetable,NA,NA,NA,NA
peach,peach,crop,Prunus persica,Peaches,NA,NA,NA,NA
peanut,peanut,crop,Arachis hypogaea,Peanuts,NA,NA,NA,NA
pear,pear,crop,Pyrus spp.,Pears,NA,NA,NA,NA
pea,pea,crop,Pisum sativum,Peas,NA,NA,NA,NA
pecan,pecan,crop,Carya illinoinensis,Pecans,NA,NA,NA,NA
pepper,pepper,crop,Capsicum spp.,Peppers,NA,NA,NA,NA
pistachio,pistachio,crop,Pistacia vera,Pistachios,NA,NA,NA,NA
plum,plum,crop,Prunus spp.,Plums,NA,NA,NA,NA
pomegranate,pomegranate,crop,Punica granatum,Pomegranates,NA,NA,NA,NA
potato,potato,crop,Solanum tuberosum,Potatoes,NA,NA,NA,NA
prune,prune,crop,Prunus domestica,Prunes,NA,NA,NA,NA
pumpkin,pumpkin,crop,Cucurbita pepo,Pumpkins,NA,NA,NA,NA
radish,radish,crop,Raphanus raphanistrum,Radishes,NA,NA,NA,NA
raspberry,raspberry,crop,Rubus spp.,Raspberries,NA,NA,NA,NA
safflower,safflower,crop,Carthamus tinctorium,Safflower,NA,NA,NA,NA
sorghum,sorghum,crop,Sorghum spp.,Sorghum,NA,NA,NA,NA
soybean,soybean,crop,Glycine max,Soybeans,NA,NA,NA,NA
squash,squash,crop,Cucurbita spp.,Squash,NA,NA,NA,NA
strawberry,strawberry,crop,Fragaria x ananassa,Strawberries,NA,NA,NA,NA
sugarbeet,sugarbeet,crop,Beta vulgaris,Sugarbeets,NA,NA,NA,NA
sunflower,sunflower,crop,Helianthus spp.,Sunflower,NA,NA,NA,NA
sweet-corn,sweet-corn,crop,Zea mays,Sweet Corn,NA,NA,NA,NA
sweet-potato,sweet-potato,crop,Ipomoea batatas,Sweet Potatoes,NA,NA,NA,NA
tobacco,tobacco,crop,Nicotiana spp.,Tobacco,NA,NA,NA,NA
tomato,tomato,crop,Solanum lycopersicum,Tomatoes,NA,NA,NA,NA
turnip,turnip,crop,Brassica rapa,Turnips,NA,NA,NA,NA
walnut,walnut,crop,Juglans spp.,Walnuts,NA,NA,NA,NA
watermelon,watermelon,crop,Citrullus lanatus,Watermelons,NA,NA,NA,NA
creeping-charlie,creeping-charlie,non-crop,Glechoma hederacea,Creeping Charlie,Species,Lamiaceae,Glechoma,Glechoma hederacea
cup-plant,cup-plant,non-crop,Silphium perfoliatum,Cup Plant,Species,Asteraceae,Silphium,Silphium perfoliatum
dandelion,dandelion,non-crop,Taraxacum,Dandelion,Genus,Asteraceae,Taraxacum,NA
goldenrod,goldenrod,non-crop,Solidago,Goldenrod,Genus,Asteraceae,Solidago,NA
leadplant,leadplant,non-crop,Amorpha canescens,Leadplant,Species,Fabaceae,Amorpha,Amorpha canescens
milkweed,milkweed,non-crop,Asclepias,Milkweed,Genus,Apocynaceae,Asclepias,NA
white-clover,white-clover,non-crop,Trifolium repens,White Clover,Species,Fabaceae,Trifolium,Trifolium repens
wild-bergamot,wild-bergamot,non-crop,Monarda fistulosa,Wild Bergamot,Species,Lamiaceae,Monarda,Monarda fistulosa
american-gromwell,american-gromwell,non-crop,Lithospermum latifolium,American Gromwell,Species,Boraginaceae,Lithospermum,Lithospermum latifolium
forked-aster,forked-aster,non-crop,Eurybia furcata,Forked Aster,Species,Asteraceae,Eurybia,Eurybia furcata
lesser-purple-fringed-orchid,lesser-purple-fringed-orchid,non-crop,Platanthera psycodes,Lesser Purple-Fringed Orchid,Species,Orchidaceae,Platanthera,Platanthera psycodes
lesser-yellow-lady-slipper,lesser-yellow-lady-slipper,non-crop,Cypripedium parviflorum,Lesser Yellow Lady Slipper,Species,Orchidaceae,Cypripedium,Cypripedium parviflorum
family:acanthaceae,family:acanthaceae,non-crop,Acanthaceae,Acanthus Family,Family,Acanthaceae,NA,NA
family:adoxaceae,family:adoxaceae,non-crop,Adoxaceae,Moschatel Family,Family,Adoxaceae,NA,NA
family:agavaceae,family:agavaceae,non-crop,Agavaceae,Agave or Century Plant Family,Family,Agavaceae,NA,NA
family:aizoaceae,family:aizoaceae,non-crop,Aizoaceae,Ice Plant or Fig-marigold Family,Family,Aizoaceae,NA,NA
family:alismataceae,family:alismataceae,non-crop,Alismataceae,Water-plantain Family,Family,Alismataceae,NA,NA
family:alstroemeriaceae,family:alstroemeriaceae,non-crop,Alstroemeriaceae,Alstroemeria Family,Family,Alstroemeriaceae,NA,NA
family:amaranthaceae,family:amaranthaceae,non-crop,Amaranthaceae,Pigweed Family,Family,Amaranthaceae,NA,NA
family:amaryllidaceae,family:amaryllidaceae,non-crop,Amaryllidaceae,Amaryllis Family,Family,Amaryllidaceae,NA,NA
family:anacardiaceae,family:anacardiaceae,non-crop,Anacardiaceae,Cashew or Sumac Family,Family,Anacardiaceae,NA,NA
family:apiaceae,family:apiaceae,non-crop,Apiaceae,Carrot or Parsley Family,Family,Apiaceae,NA,NA
family:apocynaceae,family:apocynaceae,non-crop,Apocynaceae,Dogbane Family,Family,Apocynaceae,NA,NA
family:aquifoliaceae,family:aquifoliaceae,non-crop,Aquifoliaceae,Holly Family,Family,Aquifoliaceae,NA,NA
family:araceae,family:araceae,non-crop,Araceae,Arum Family,Family,Araceae,NA,NA
family:araliaceae,family:araliaceae,non-crop,Araliaceae,Ginseng Family,Family,Araliaceae,NA,NA
family:aristolochiaceae,family:aristolochiaceae,non-crop,Aristolochiaceae,Birthwort Family,Family,Aristolochiaceae,NA,NA
family:asclepiadaceae,family:asclepiadaceae,non-crop,Asclepiadaceae,Milkweed Family,Family,Asclepiadaceae,NA,NA
family:asparagaceae,family:asparagaceae,non-crop,Asparagaceae,Asparagus Family,Family,Asparagaceae,NA,NA
family:asphodelaceae,family:asphodelaceae,non-crop,Asphodelaceae,Aloe Family,Family,Asphodelaceae,NA,NA
family:asteraceae,family:asteraceae,non-crop,Asteraceae,"Aster, Daisy, or Sunflower Family",Family,Asteraceae,NA,NA
family:balsaminaceae,family:balsaminaceae,non-crop,Balsaminaceae,Impatiens Family,Family,Balsaminaceae,NA,NA
family:begoniaceae,family:begoniaceae,non-crop,Begoniaceae,Begonia Family,Family,Begoniaceae,NA,NA
family:berberidaceae,family:berberidaceae,non-crop,Berberidaceae,Barberry Family,Family,Berberidaceae,NA,NA
