id,user_id,started_at,ended_at,created_at,site_type,cloud_cover,wind_intensity,shadow,temperature,notes,picture_id,duration,lat,lng,management_type,crop,site_name,bumble_bee,bumble_bee_amended,honeybee,honeybee_amended,large_dark_bee,large_dark_bee_amended,small_dark_bee,small_dark_bee_amended,greenbee,greenbee_amended,non_bee,non_bee_amended,picture_url
2edcb15e-c2c3-485d-aa8a-7e99bcefbf62,1,2019-04-30T04:20:57Z,2019-04-30T04:25:57Z,2019-04-30T04:37:45Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,1,NA,2,NA,NA
f8eb62e1-4fc1-4ba2-bd1b-83420577cb3b,1,2019-04-30T04:47:54Z,2019-04-30T04:48:19Z,2019-04-30T04:48:26Z,orchard,rainy,no-wind,TRUE,just-right,NA,5e48454f-69ac-4f91-bd29-d8e160a09e06,NA,NA,NA,NA,NA,NA,13,NA,2,NA,1,NA,7,NA,1,NA,1,NA,https://bee-observations-app-pictures.s3.us-east-2.amazonaws.com/5e48454f-69ac-4f91-bd29-d8e160a09e06?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARZWUGDQYAU4ZB5XM%2F20200703%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20200703T194640Z&X-Amz-Expires=604800&X-Amz-Signature=14db1e79adab7fa18e34bf35a06ffcb8b1d959557620a2f92362472293d3a42e&X-Amz-SignedHeaders=host
e43c5dd2-52fd-43f7-abf0-94388881535f,1,2019-04-30T15:40:11Z,2019-04-30T15:40:15Z,2019-04-30T15:57:01Z,fruit-vegetable-farm,cloudy,no-wind,TRUE,just-right,Lots of goldenrod,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,0,NA,1,NA,0,NA,1,NA,NA
921b6ba1-7c4f-4c77-a755-589883e0a6f0,2,2019-04-30T16:11:35Z,2019-04-30T16:12:40Z,2019-04-30T16:12:55Z,orchard,cloudy,steady-wind,TRUE,cool,NA,976e0e87-f571-441c-a1fd-c27ecbd998e1,NA,NA,NA,NA,NA,NA,10,NA,7,NA,1,NA,3,NA,20,NA,9,NA,https://bee-observations-app-pictures.s3.us-east-2.amazonaws.com/976e0e87-f571-441c-a1fd-c27ecbd998e1?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARZWUGDQYAU4ZB5XM%2F20200703%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20200703T194640Z&X-Amz-Expires=604800&X-Amz-Signature=fc2476c3564029246049b97dbe4b7a1bce71bca6b3731e8a32c7021b4d0480f4&X-Amz-SignedHeaders=host
68b673f5-b4f1-49a0-9bec-717f8b814682,2,2019-04-30T16:17:25Z,2019-04-30T16:17:45Z,2019-04-30T16:17:49Z,garden,cloudy,gentle-breeze,TRUE,hot,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,NA
031ab5f0-68a8-41d3-9575-b635d6915a08,1,2019-05-05T00:40:28Z,2019-05-05T00:40:31Z,2019-05-05T00:40:34Z,orchard,cloudy,gentle-breeze,FALSE,cool,NA,NA,1 seconds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
a4895f3a-4986-40ed-8360-504e05605cd4,1,2019-05-05T01:20:43Z,2019-05-05T01:21:00Z,2019-05-05T01:21:19Z,fruit-vegetable-field,cloudy,steady-wind,TRUE,cool,NA,929ff83f-fe57-40ad-b1a9-e9357c889010,7 seconds,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,1,NA,4,NA,1,NA,https://bee-observations-app-pictures.s3.us-east-2.amazonaws.com/929ff83f-fe57-40ad-b1a9-e9357c889010?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARZWUGDQYAU4ZB5XM%2F20200703%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20200703T194640Z&X-Amz-Expires=604800&X-Amz-Signature=fc99f69e6447e25006f8a19420551239b95ce9d55f53d55cf0c9e565c9dc1eb3&X-Amz-SignedHeaders=host
e7264287-e600-49db-b213-d23ecb0f585e,1,2019-05-05T01:52:50Z,2019-05-05T01:52:55Z,2019-05-05T01:52:59Z,prairie,cloudy,gusty,TRUE,just-right,NA,48d91970-6ad4-40f8-9214-b74bf88a3a91,3 seconds,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,NA,1,NA,0,NA,https://bee-observations-app-pictures.s3.us-east-2.amazonaws.com/48d91970-6ad4-40f8-9214-b74bf88a3a91?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARZWUGDQYAU4ZB5XM%2F20200703%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20200703T194640Z&X-Amz-Expires=604800&X-Amz-Signature=ecabef973b8c36ab6ecf26bb7f114c056d8f1b6906ceab77997c8fc44c368e6b&X-Amz-SignedHeaders=host
5cdd663d-ea39-4629-bba8-625340b64811,1,2019-05-05T02:23:23Z,2019-05-05T02:23:34Z,2019-05-05T02:23:36Z,road-field-edge,sunny,gusty,NA,just-right,NA,2a21cd81-fc0f-41a6-ac33-2a998c00a18d,9 seconds,43.0774299852178,-89.3726798274373,NA,NA,NA,5,NA,1,NA,5,NA,2,NA,3,NA,2,NA,https://bee-observations-app-pictures.s3.us-east-2.amazonaws.com/2a21cd81-fc0f-41a6-ac33-2a998c00a18d?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIARZWUGDQYAU4ZB5XM%2F20200703%2Fus-east-2%2Fs3%2Faws4_request&X-Amz-Date=20200703T194640Z&X-Amz-Expires=604800&X-Amz-Signature=5afd2c90563f1ae048a33ee588cedba1689236134e58df5b5d160e53a90de969&X-Amz-SignedHeaders=host
847d8bdf-bc60-4c83-adf0-878a2dbae51d,1,2019-05-05T02:26:32Z,2019-05-05T02:26:34Z,2019-05-05T02:26:39Z,fruit-vegetable-field,sunny,no-wind,NA,cool,NA,NA,1 seconds,43.0774203442026,-89.372706222225,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA
