crop,new_crop
angle‘s trumpet,other-non-crop
Asian Pear,pear
aspragus,asparagus
aster,family:asteraceae
"Asters, stonecrop flower",other-non-crop
austraila crescent,other-crop
australian crescent potato,potato
balloon flowers,other-non-crop
basil,other-crop
"Basil, Rose",other-crop
berry,other-berry
Black-eyed Susan cultivar,other-non-crop
Bloodroot,other-non-crop
Blueberry,blueberry
Bougainville,other-non-crop
butterfly weed,other-non-crop
Callistephus chinensis,species:callistephus-chinensis
Cherry,cherry
cherry tomatoes,tomato
chrysanthemum,genus:chrysanthemum
Chrysanthemum,genus:chrysanthemum
Clover,genus:trifolium
clovers,genus:trifolium
crabapple,genus:malus
crabapple tree,genus:malus
Crabapple tree,genus:malus
currants,genus:ribes
Dabdelion,genus:taraxacum
dogwood,genus:cornus
Flower,other-non-crop
flower,other-non-crop
flower (type unknown),other-non-crop
flower garden,other-non-crop
flowering weeds,other-non-crop
flowers,other-non-crop
Flowers,other-non-crop
flowrs,other-non-crop
"forbs-aster, purple coneflowet",species:echinacea-purpurea
garden,other-non-crop
german butterball,potato
golden rod and aster,genus:solidago
gourds,squash
grass,other-non-crop
grass and native plantings,other-non-crop
hastas?,genus:hosta
herb,other-non-crop
herbs,other-non-crop
hosta,genus:hosta
Hydrangas,genus:hydrangea
hydrangea,genus:hydrangea
Lavender and Lesser Calamint,family:lamiaceae
lawn,other-non-crop
Lawn Bush,other-non-crop
Lesser Calamint,species:clinopodium-nepeta
lesser calamint,species:clinopodium-nepeta
lesser Calamint,species:clinopodium-nepeta
lilac,species:syringa-vulgaris
loofah,other-crop
Luffa,other-crop
magnolia,genus:magnolia
marigolds,genus:calendula
melon,melon
Mums,genus:chrysanthemum
mustard green flowers,other-non-crop
myrrth,other-non-crop
NA,other-non-crop
native flower,other-non-crop
native flower garden,other-non-crop
native flowere,other-non-crop
"native flowering plants-aster, purple coneflower",other-non-crop
native garden plants,other-non-crop
native plants,other-non-crop
native plants - dolidago speciosa,species:solidago-speciosa
native plants - solidago speciosa,species:solidago-speciosa
native plants - tall thistle,other-non-crop
ninebark bush,other-non-crop
none,other-non-crop
None,other-non-crop
not sure,other-non-crop
oneida gold,potato
orchid,other-non-crop
Pear,pear
Perennial Flower bed,other-non-crop
petunias,other-non-crop
plants,other-non-crop
Plum,plum
"purple coneflower, aster",family:asteraceae
purple flower,family:asteraceae
Purple Flower,family:asteraceae
Purple flowers,family:asteraceae
red endeavor potato,potato
red endeavor potatoes,potato
redbekia flower,genus:rudbeckia
redbud tree,genus:cercis
Redbud tree,genus:cercis
rose bush,genus:rosa
Roses,genus:rosa
rudbeckia,genus:rudbeckia
Russian Sage,species:salvia-yangii
salvia,genus:salvia
Samdal elderberry,genus:sambucus
scilia,genus:scilla
sedum,genus:sedum
"smooth asters, purple coneflowes",family:asteraceae
solidago,genus:solidago
"solidago “fireworks”, brown eyed Susan",genus:solidago
solisago speciosa,genus:solidago
special crops,other-crop
Spiria,genus:spiraea
"sriff goldemrod,rudbeckia",genus:solidago
starry night acorn squash,squash
sunflowers,sunflower
super chili,pepper
thistle,other-non-crop
tomatoes,tomato
tomatos,tomato
Variety of Vegetables,other-crop
Various; puple flower,other-non-crop
Various; white flower,other-non-crop
"white flowering shrub, perhaps Cherry family",other-non-crop
white snakeroot,other-non-crop
Wild Flower,other-non-crop
Yellow Allamanda,species:allamanda-cathartica
zucchini,squash
other,other-crop
