Family,CommonName,NumGenera,NumSpecies
Acanthaceae,Acanthus Family,3,3
Adoxaceae,Moschatel Family,2,6
Agavaceae,Agave or Century Plant Family,0,0
Aizoaceae,Ice Plant or Fig-marigold Family,2,2
Alismataceae,Water-plantain Family,1,1
Alstroemeriaceae,Alstroemeria Family,1,0
Amaranthaceae,Pigweed Family,2,1
Amaryllidaceae,Amaryllis Family,11,15
Anacardiaceae,Cashew or Sumac Family,2,5
Apiaceae,Carrot or Parsley Family,12,13
Apocynaceae,Dogbane Family,8,12
Aquifoliaceae,Holly Family,1,1
Araceae,Arum Family,4,3
Araliaceae,Ginseng Family,1,1
Aristolochiaceae,Birthwort Family,2,3
Asclepiadaceae,Milkweed Family,0,0
Asparagaceae,Asparagus Family,13,12
Asphodelaceae,Aloe Family,3,1
Asteraceae,"Aster, Daisy, or Sunflower Family",79,121
Balsaminaceae,Impatiens Family,1,3
Begoniaceae,Begonia Family,1,0
Berberidaceae,Barberry Family,5,5
Bignoniaceae,Trumpte Creeper Family,2,2
Bixaceae,Annatto or Lipstick-tree Family,0,0
Boraginaceae,Borage or Forget-Me-Not Family,10,18
Brassicaceae,Mustard Family,14,17
Bromeliaceae,Bromeliad Family,1,0
Burseraceae,Torchwood Family,0,0
Cactaceae,Cactus Family,1,1
Calycanthaceae,Sweetshrub or Spicebush Family,1,1
Campanulaceae,Bellflower Family,6,14
Cannaceae,Canna Family,1,0
Capparaceae,Caper Family,0,0
Caprifoliaceae,Honeysuckle Family,9,11
Caryophyllaceae,Carnation or Pink Family,9,18
Celastraceae,Bittersweet or Stiff Vine Family,1,2
Chenopodiaceae,Goosefoot Family,0,0
Cistaceae,Rock-rose Family,1,1
Cleomaceae,Stinkweed Family,2,2
Colchicaceae,Colchicum Family,1,4
Commelinaceae,Dayflower or Spiderwort Family,2,4
Convolvulaceae,Morning Glory Family,6,11
Cornaceae,Dogwood Family,1,4
Crassulaceae,"Live Forever, Orpine, or Stonecrop Family",3,6
Crossosomataceae,Crossosoma Family,0,0
Cucurbitaceae,Cucumber Family,2,2
Cupressaceae,Cypress Family,0,0
Cyperaceae,Sedge Family,4,4
Diapensiaceae,Diapensia Family,2,2
Dioscoreaceae,Yam family,1,1
Ericaceae,Heath or Heather Family,13,16
Euphorbiaceae,Euphorbias or Spurge Family,1,7
Fabaceae,"Bean, Pea, or Legume Family",32,44
Fagaceae,Beech or Oak Family,0,0
Ficoidaceae,Fig Marigold,0,0
Fouquieriaceae,Ocotillo Family,0,0
Garryaceae,Silk Tassel Family,0,0
Gentianaceae,Gentian Family,4,7
Geraniaceae,Cranesbill or Storksbill Family,3,5
Gesneriaceae,Gesneriad Family,1,0
Goodeniaceae,Fanflower Family,2,1
Haemodoraceae,Bloodwort Family,2,0
Hamamelidaceae,Witch-hazel Family,1,1
Hydrangeaceae,Hydrangea Family,4,4
Hydrophyllaceae,Waterleaf Family,0,0
Hypericaceae,St. John's-wort Family,1,5
Hypoxidaceae,Hypoxidia Family,1,1
Iridaceae,Iris Family,12,10
Juglandaceae,Walnut Family,0,0
Krameriaceae,Ratany/Rattany/Rhatany Family,0,0
Lamiaceae,Mint Family,17,28
Lauraceae,Laurel Family,1,1
Lentibulariaceae,Bladderwort Family,1,1
Liliaceae,Lily Family,8,14
Linaceae,Flax Family,1,2
Linderniaceae,Lindernia Family,1,1
Loasaceae,Blazingstar or Stickleaf Family,4,8
Loganiaceae,Logania Family,1,1
Lythraceae,Loosestrife Family,2,2
Magnoliaceae,Magnolia Family,2,1
Malpighiaceae,Barbados Cherry Family,0,0
Malvaceae,Mallow Family,6,7
Mazaceae,Mazus Family,1,1
Melanthiaceae,Bunchflower Family,6,21
Melastomataceae,Melastome Family,1,1
Moraceae,Fig or Mulberry Family,0,0
Nelumbonaceae,Nelumbo Family,1,2
Nyctaginaceae,Four O’Clock Family,3,2
Nymphaeaceae,Water Lily Family,2,2
Oleaceae,Olive Family,5,4
Onagraceae,Evening Primrose Family,6,11
Orchidaceae,Orchid Family,16,19
Orobanchaceae,Broomrape Family,11,14
Oxalidaceae,Wood Sorrel Family,1,6
Paeoniaceae,Peony Family,1,1
Papaveraceae,Poppy Family,8,10
Passifloraceae,Passion Vine Family,1,1
Phrymaceae,Lopseed Family,2,4
Phytolaccaceae,Pokeweed Family,1,1
Plantaginaceae,Plantain Family,13,17
Platanaceae,Plane-tree Family,0,0
Plumbaginaceae,Leadwort or Plumbago Family,1,0
Polemoniaceae,Jacob’s Ladder or Phlox Family,4,13
Polygonaceae,Buckwheat Family,3,7
Pontederiaceae,Water Hyacinth Family,1,1
Portulacaceae,Purslane Family,1,1
Primulaceae,Primrose Family,4,4
Ranunculaceae,Buttercup or Crowfoot Family,17,29
Rhamnaceae,Buckthorn Family,2,1
Rosaceae,Rose Family,21,30
Rubiaceae,"Bedstraw, Coffee or Madder Family",11,10
Rutaceae,Citrus or Rue Family,1,8
Salicaceae,Willow Family,1,0
Santalaceae,Sandalwood Family,0,0
Sapindaceae,Soapberry Family,4,4
Sarraceniaceae,Pitcher Plant Family,1,1
