Genus,CommonName,Family
Abronia,Sand Verbenas,Nyctaginaceae
Acanthus,Acanthus,Acanthaceae
Acer,Maple,Sapindaceae
Achillea,Yarrow,Asteraceae
Aconitum,"Aconite, Monkshood, Wolf's-Bane, Leopard's Bane, Mousebane, Women's Bane, Devil's Helmet, Queen of Poisons, or Blue Rocket",Ranunculaceae
Actaea,Baneberry,Ranunculaceae
Actinotus,Flannel Flower,Apiaceae
Adenium,Adenium,Apocynaceae
Aechmea,"Bromeliad, Urn Plant",Bromeliaceae
Aesculus,Buckeye,Sapindaceae
Agalinis,False Foxglove,Orobanchaceae
Agapanthus,Lily of the Nile,Amaryllidaceae
Agave,Tuberose,Asparagaceae
Ageratum,Whiteweed,Asteraceae
Agrimonia,Agrimony,Rosaceae
Ailanthus,Tree-of-Heaven,Simaroubaceae
Albizia,Mimosa,Fabaceae
Alcea,Hollyhock,Malvaceae
Alchemilla,Lady's Mantle,Rosaceae
Allamanda,Allamanda,Apocynaceae
Alliaria,Alliaria,Brassicaceae
Allium,Onion,Amaryllidaceae
Alstroemeria,"Peruvian Lily, Lily of the Incas",Alstroemeriaceae
Alyssum,Sweet Alyssum,Brassicaceae
Amaranthus,Amaranth,Amaranthaceae
Amaryllis,Amaryllis,Amaryllidaceae
Ambrosia,Ragweed,Asteraceae
Amelanchier,"Serviceberry, Juneberry, Shadbush",Rosaceae
Amianthium,Fly Poison,Melanthiaceae
Amorpha,False Indigo,Fabaceae
Amphicarpaea,Hogpeanut,Fabaceae
Amsinckia,Fiddleneck,Boraginaceae
Amsonia,"Bluestar, Dogbane",Apocynaceae
Anaphalis,Pearly Everlasting,Asteraceae
Anemonastrum,"Anemone, Windflower",Ranunculaceae
Anemone,Anemone,Ranunculaceae
Angelica,"Angelica, Wild Celery",Apiaceae
Angelonia,Summer Snapdragon,Plantaginaceae
Anigozanthos,Kangaroo Paw,Haemodoraceae
Antennaria,Pussytoes,Asteraceae
Anthemis,Mayweed,Asteraceae
Anthurium,"Anthurium, Tailflower, Flamingo Flower, Laceleaf",Araceae
Antirrhinum,"Snapdragon, Dragon Flower",Plantaginaceae
Apios,Groundnut,Fabaceae
Aplectrum,Adam and Eve,Orchidaceae
Aquilegia,Columbine,Ranunculaceae
Arctostaphylos,Manzanita or Bearberry,Ericaceae
Argyranthemum,Marguerite Daisy,Asteraceae
Arisaema,"Jack-in-the-Pulpit, Indian Turnip",Araceae
Arnoglossum,Indian Plantain,Asteraceae
Aruncus,Goatsbeard,Rosaceae
Asarum,Wild Ginger,Aristolochiaceae
Asclepias,Milkweed,Apocynaceae
Asparagus,Asparagus,Asparagaceae
Astilbe,Goat's beard,Saxifragaceae
Astragalus,Milkvetch,Fabaceae
Astranthium,Western Daisy,Asteraceae
Astrantia,Masterwort,Apiaceae
Aubrieta,Rock Cress,Brassicaceae
Aureolaria,"Yellow False Foxglove, Oak-Leech",Orobanchaceae
Balsamorhiza,Balsamroot,Asteraceae
Baptisia,"Wild Indigo, False Indigo",Fabaceae
Begonia,Begonia,Begoniaceae
Bellis,Daisy,Asteraceae
Bergenia,Bergenia,Saxifragaceae
Bidens,Beggarticks,Asteraceae
Bignonia,Crossvine,Bignoniaceae
Blepharipappus,Eyelashweed,Asteraceae
Boechera,Rockcress,Brassicaceae
Bougainvillea,Bougainvilleas,Nyctaginaceae
Bouvardia,Hummingbird Flower,Rubiaceae
Brassica,"Cabbage, Mustard",Brassicaceae
Brugmansia,Angel's Trumpets,Solanaceae
Bryophyllum,Mother of Millions,Crassulaceae
Buchnera,Bluehearts,Orobanchaceae
Buddleja,Butterfly Bush,Scrophulariaceae
Calendula,Calendula,Asteraceae
Calliandra,Powder Puff,Fabaceae
