crop,surveys
NA,458
none,169
flowers,26
Flowers,19
crabapple tree,8
Flower,8
native plants,8
redbud tree,7
zucchini,6
flower,4
gourds,4
Lesser Calamint,4
scilia,4
sedum,4
tomatoes,4
Cherry,3
lilac,3
myrrth,3
red endeavor potato,3
rose bush,3
aster,2
australian crescent potato,2
berry,2
chrysanthemum,2
"forbs-aster, purple coneflowet",2
german butterball,2
grass,2
herb,2
None,2
oneida gold,2
Pear,2
Plum,2
Redbud tree,2
Roses,2
Samdal elderberry,2
starry night acorn squash,2
sunflowers,2
angle‘s trumpet,1
Asian Pear,1
aspragus,1
"Asters, stonecrop flower",1
austraila crescent,1
balloon flowers,1
basil,1
"Basil, Rose",1
Black-eyed Susan cultivar,1
Bloodroot,1
Blueberry,1
Bougainville,1
butterfly weed,1
Callistephus chinensis,1
cherry tomatoes,1
Chrysanthemum,1
Clover,1
clovers,1
crabapple,1
Crabapple tree,1
currants,1
Dabdelion,1
dogwood,1
flower (type unknown),1
flower garden,1
flowering weeds,1
flowrs,1
garden,1
golden rod and aster,1
grass and native plantings,1
hastas?,1
herbs,1
hosta,1
Hydrangas,1
hydrangea,1
Lavender and Lesser Calamint,1
lawn,1
Lawn Bush,1
lesser calamint,1
lesser Calamint,1
loofah,1
Luffa,1
magnolia,1
marigolds,1
melon,1
Mums,1
mustard green flowers,1
native flower,1
native flower garden,1
native flowere,1
"native flowering plants-aster, purple coneflower",1
native garden plants,1
native plants - dolidago speciosa,1
native plants - solidago speciosa,1
native plants - tall thistle,1
ninebark bush,1
not sure,1
orchid,1
Perennial Flower bed,1
petunias,1
plants,1
"purple coneflower, aster",1
purple flower,1
Purple Flower,1
Purple flowers,1
red endeavor potatoes,1
redbekia flower,1
rudbeckia,1
Russian Sage,1
salvia,1
"smooth asters, purple coneflowes",1
solidago,1
"solidago “fireworks”, brown eyed Susan",1
solisago speciosa,1
special crops,1
Spiria,1
"sriff goldemrod,rudbeckia",1
super chili,1
thistle,1
tomatos,1
Variety of Vegetables,1
Various; puple flower,1
Various; white flower,1
"white flowering shrub, perhaps Cherry family",1
white snakeroot,1
Wild Flower,1
Yellow Allamanda,1
